county,county_id,registered_voters,turnout_in_person,turnout_mail,turnout_total,roster_in_person,roster_mail,roster_total,gap_in_person,gap_mail,gap_total,gap_pct
REFUGIO,196,4899,253,19,272,253,2,255,0,17,17,0.0625
ROBERTS,197,719,34,6,40,34,1,35,0,5,5,0.125
ROBERTSON,198,12676,860,41,901,860,11,871,0,30,30,0.033296337402885685
ROCKWALL,199,91415,6710,344,7054,6710,101,6811,0,243,243,0.03444853983555429
RUNNELS,200,6747,347,38,385,347,23,370,0,15,15,0.03896103896103896
RUSK,201,34312,1631,0,1631,1631,0,1631,0,0,0,0.0
SABINE,202,8376,855,56,911,855,24,879,0,32,32,0.03512623490669594
SAN AUGUSTINE,203,5982,477,25,502,476,2,478,1,23,24,0.04780876494023904
SAN JACINTO,204,20879,1637,113,1750,1637,19,1656,0,94,94,0.053714285714285714
SAN PATRICIO,205,45208,557,98,655,557,22,579,0,76,76,0.11603053435114503
SAN SABA,206,3767,163,24,187,163,0,163,0,24,24,0.12834224598930483
SCHLEICHER,207,1768,119,10,129,119,4,123,0,6,6,0.046511627906976744
SCURRY,208,9225,708,40,748,708,9,717,0,31,31,0.04144385026737968
SHACKELFORD,209,2441,206,30,236,206,13,219,0,17,17,0.07203389830508475
SHELBY,210,16349,636,53,689,636,53,689,0,0,0,0.0
SHERMAN,211,1346,71,0,71,71,0,71,0,0,0,0.0
SMITH,212,157630,9264,799,10063,9264,171,9435,0,628,628,0.06240683692735765
SOMERVELL,213,7578,886,22,908,886,9,895,0,13,13,0.014317180616740088
STARR,214,36342,25,6,31,25,5,30,0,1,1,0.03225806451612903
STEPHENS,215,5846,395,41,436,395,39,434,0,2,2,0.0045871559633027525
STERLING,216,882,29,6,35,29,6,35,0,0,0,0.0
STONEWALL,217,949,55,5,60,55,2,57,0,3,3,0.05
SUTTON,218,2295,199,3,202,199,1,200,0,2,2,0.009900990099009901
SWISHER,219,3860,175,35,210,175,8,183,0,27,27,0.12857142857142856
TARRANT,220,1278027,58878,4369,63247,58284,539,58823,594,3830,4424,0.06994798172245324
TAYLOR,221,86087,4385,338,4723,4385,35,4420,0,303,303,0.06415413931822994
TERRELL,222,617,41,5,46,41,0,41,0,5,5,0.10869565217391304
TERRY,223,6277,373,32,405,373,11,384,0,21,21,0.05185185185185185
THROCKMORTON,224,1184,65,4,69,65,0,65,0,4,4,0.057971014492753624
TITUS,225,18086,1163,57,1220,1163,19,1182,0,38,38,0.03114754098360656
TOM GREEN,226,72725,3601,588,4189,3601,119,3720,0,469,469,0.11195989496299832
TRAVIS,227,927654,25997,1999,27996,25225,563,25788,772,1436,2208,0.0788684097728247
TRINITY,228,12254,956,0,956,956,0,956,0,0,0,0.0
TYLER,229,14866,922,58,980,921,16,937,1,42,43,0.04387755102040816
UPSHUR,230,30711,1553,192,1745,1553,25,1578,0,167,167,0.09570200573065903
UPTON,231,2101,142,2,144,142,0,142,0,2,2,0.013888888888888888
UVALDE,232,17673,1439,49,1488,1439,17,1456,0,32,32,0.021505376344086023
VAL VERDE,233,30640,619,10,629,619,0,619,0,10,10,0.01589825119236884
VAN ZANDT,234,42237,3548,125,3673,3547,69,3616,1,56,57,0.015518649605227334
VICTORIA,235,57536,2328,610,2938,2328,228,2556,0,382,382,0.1300204220558203
WALKER,236,39091,3030,126,3156,3030,44,3074,0,82,82,0.025982256020278833
WALLER,237,44924,2156,110,2266,2156,79,2235,0,31,31,0.013680494263018535
WARD,238,6990,149,14,163,149,3,152,0,11,11,0.06748466257668712
WASHINGTON,239,25795,3924,165,4089,3924,57,3981,0,108,108,0.02641232575201761
WEBB,240,147647,1491,29,1520,1491,7,1498,0,22,22,0.014473684210526316
WHARTON,241,26549,1589,23,1612,1589,23,1612,0,0,0,0.0
WHEELER,242,3323,245,29,274,245,6,251,0,23,23,0.08394160583941605
WICHITA,243,77898,3709,339,4048,3709,96,3805,0,243,243,0.060029644268774704
WILBARGER,244,8199,207,74,281,207,13,220,0,61,61,0.21708185053380782
WILLACY,245,11524,100,7,107,100,7,107,0,0,0,0.0
WILLIAMSON,246,458766,22532,1511,24043,22278,1074,23352,254,437,691,0.028740173855176143
WILSON,247,39951,2091,196,2287,2091,44,2135,0,152,152,0.0664626147791867
WINKLER,248,4144,13,19,32,13,7,20,0,12,12,0.375
WISE,249,58175,3981,199,4180,3981,44,4025,0,155,155,0.03708133971291866
WOOD,250,35540,2289,306,2595,2289,65,2354,0,241,241,0.0928709055876686
YOAKUM,251,4330,237,14,251,237,1,238,0,13,13,0.05179282868525897
YOUNG,252,12705,2159,0,2159,2159,0,2159,0,0,0,0.0
ZAPATA,253,8228,15,0,15,15,0,15,0,0,0,0.0
ZAVALA,254,7532,69,1,70,69,1,70,0,0,0,0.0
