election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-20,LASALLE,142,4070,7,15,1,true,civix
58315,2026-05-20,LAVACA,143,14402,214,555,1,true,civix
58315,2026-05-20,LEE,144,12092,103,272,43,true,civix
58315,2026-05-20,LEON,145,12600,169,429,21,true,civix
58315,2026-05-20,LIBERTY,146,57770,802,2792,1,true,civix
58315,2026-05-20,LIMESTONE,147,14356,154,392,57,true,civix
58315,2026-05-20,LIPSCOMB,148,1879,8,19,40,true,civix
58315,2026-05-20,LIVE OAK,149,7644,0,154,33,true,civix
58315,2026-05-20,LLANO,150,18302,477,1260,219,true,civix
58315,2026-05-20,LOVING,151,150,0,0,0,true,civix
58315,2026-05-20,LUBBOCK,152,200436,2622,8152,705,true,civix
58315,2026-05-20,LYNN,153,4467,21,70,5,true,civix
58315,2026-05-20,MADISON,154,8469,0,153,33,true,civix
58315,2026-05-20,MARION,155,7800,78,248,20,true,civix
58315,2026-05-20,MARTIN,156,3566,29,72,6,true,civix
58315,2026-05-20,MASON,157,3257,55,181,11,true,civix
58315,2026-05-20,MATAGORDA,158,22186,209,620,55,true,civix
58315,2026-05-20,MAVERICK,159,36799,42,91,0,true,civix
58315,2026-05-20,MCCULLOCH,160,5358,84,191,28,true,civix
58315,2026-05-20,MCLENNAN,161,156560,1545,3903,705,true,civix
58315,2026-05-20,MCMULLEN,162,644,11,28,3,true,civix
58315,2026-05-20,MEDINA,163,39897,489,1414,4,true,civix
58315,2026-05-20,MENARD,164,1467,30,74,13,true,civix
58315,2026-05-20,MIDLAND,165,97373,1047,3478,262,true,civix
58315,2026-05-20,MILAM,166,17257,177,434,36,true,civix
58315,2026-05-20,MILLS,167,3604,90,240,5,true,civix
58315,2026-05-20,MITCHELL,168,4482,47,74,15,true,civix
58315,2026-05-20,MONTAGUE,169,15460,175,345,69,true,civix
58315,2026-05-20,MONTGOMERY,170,473251,5395,15636,2441,true,civix
58315,2026-05-20,MOORE,171,10137,98,305,30,true,civix
58315,2026-05-20,MORRIS,172,8770,120,317,28,true,civix
58315,2026-05-20,MOTLEY,173,827,12,32,19,true,civix
58315,2026-05-20,NACOGDOCHES,174,39316,424,1131,138,true,civix
58315,2026-05-20,NAVARRO,175,33874,536,1613,14,true,civix
58315,2026-05-20,NEWTON,176,9412,46,159,0,true,civix
58315,2026-05-20,NOLAN,177,8773,133,445,36,true,civix
58315,2026-05-20,NUECES,178,211505,1342,3574,519,true,civix
58315,2026-05-20,OCHILTREE,179,5154,32,96,40,true,civix
58315,2026-05-20,OLDHAM,180,1376,7,23,16,true,civix
58315,2026-05-20,ORANGE,181,56337,493,1252,201,true,civix
58315,2026-05-20,PALO PINTO,182,20569,341,853,169,true,civix
58315,2026-05-20,PANOLA,183,17778,182,534,72,true,civix
58315,2026-05-20,PARKER,184,130559,2040,4896,603,true,civix
58315,2026-05-20,PARMER,185,4514,25,60,14,true,civix
58315,2026-05-20,PECOS,186,8352,164,660,27,true,civix
58315,2026-05-20,POLK,187,43755,780,2737,337,true,civix
58315,2026-05-20,POTTER,188,58180,426,1072,365,true,civix
58315,2026-05-20,PRESIDIO,189,4445,6,15,1,true,civix
58315,2026-05-20,RAINS,190,9615,183,414,34,true,civix
58315,2026-05-20,RANDALL,191,101225,1074,2883,777,true,civix
58315,2026-05-20,REAGAN,192,1810,37,100,8,true,civix
58315,2026-05-20,REAL,193,2677,49,106,11,true,civix
58315,2026-05-20,RED RIVER,194,8568,107,280,10,true,civix
58315,2026-05-20,REEVES,195,7914,9,36,11,true,civix
58315,2026-05-20,REFUGIO,196,4899,53,141,19,true,civix
58315,2026-05-20,ROBERTS,197,719,6,20,5,true,civix
58315,2026-05-20,ROBERTSON,198,12676,172,466,38,true,civix
